,待考|满江红·怒发冲冠（写,岳飞|小重山·昨夜寒蛩不住,岳飞|满江红·登黄鹤楼有感,岳飞|题青泥市萧寺壁,岳飞|池州翠微亭,岳飞|送紫岩张先生北伐,岳飞|寄浮图慧海,岳飞|题翠岩寺,岳飞|五岳祠盟记,岳飞|题骤马冈,岳飞|题鄱阳龙居寺,岳飞|过张溪赠张完,岳飞|送轸上人之庐山,岳飞|良马对（论马）,发现|满江红·与祝允哲述怀,发现|满江红·和岳元帅述怀,对照|满江红·江汉西来（寄,王越|次林员外新店驿壁间三,王越|次林员外新店驿壁间三,王越|次林员外新店驿壁间三,王越|登大同角楼次刘草窗韵,王越|东寺寒泉,王越|水帘飞雪,王越|红山西照,王越|襄阳怀古,王越|同唐佥宪游吉祥寺,王越|和邹克清韵 其一,王越|和游卫水韵,王越|和邹克清韵 其二,王越|自咏,王越|次尹同仁冢宰韵,王越|端午,王越|次马执之韵,王越|过寺吟景,王越|过回中山,王越|夜坐,王越|送陈宗理,王越|登伾山,王越|小金山,王越|送李世望
待考|满江红·怒发冲冠（写,0.0,0.8597,0.9032,0.9637,0.9001,0.8832,0.8926,0.877,0.8696,0.8985,0.8906,0.8912,0.8848,0.9424,0.4784,0.8198,0.9314,0.9685,0.8748,0.9221,0.8985,0.8652,0.8575,0.8789,0.9531,0.8685,0.8711,0.8848,0.8685,0.9727,0.8789,0.9668,0.8907,0.8789,0.8867,0.9258,0.8985,0.8457,0.8789,0.9003
王越|水帘飞雪,0.8575,0.8772,0.8165,0.9508,0.9262,0.937,0.8929,0.8683,0.9084,0.875,0.79,0.9262,0.8571,0.9354,0.877,0.8907,0.877,0.937,0.874,0.853,0.8571,0.8861,0.0,0.7143,0.9107,0.8571,0.8036,0.8393,0.9464,0.9286,0.8929,0.9821,0.8571,0.875,0.904,0.9107,0.8393,0.8571,0.8571,0.8571
王越|红山西照,0.8789,0.9298,0.8438,0.9508,0.9186,0.937,0.8571,0.8861,0.9342,0.9107,0.916,0.9508,0.875,0.8977,0.918,0.9317,0.918,0.958,0.874,0.874,0.8214,0.9286,0.7143,0.0,0.875,0.8571,0.8393,0.875,0.8929,0.8504,0.8929,0.9286,0.7857,0.8393,0.875,0.9107,0.8929,0.8147,0.8393,0.8214
王越|襄阳怀古,0.9531,0.8596,0.9121,0.9754,0.9016,0.979,0.9464,0.904,0.9668,0.875,0.916,0.9508,0.8929,0.8822,0.9454,0.9258,0.8907,0.937,0.958,0.916,0.9464,0.9286,0.9107,0.875,0.0,0.9286,0.9464,0.9218,0.9286,0.904,0.9464,0.9107,0.9286,0.8929,0.9107,0.8929,0.9107,0.8393,0.8571,0.9107
王越|同唐佥宪游吉祥寺,0.8685,0.9123,0.9121,0.9508,0.877,0.916,0.9107,0.8794,0.9468,0.8504,0.811,0.9262,0.8147,0.9353,0.9044,0.9077,0.918,0.895,0.8653,0.874,0.8861,0.8325,0.8571,0.8571,0.9286,0.0,0.8079,0.8437,0.875,0.8726,0.8325,0.9464,0.8504,0.7119,0.8147,0.8929,0.9397,0.8147,0.7611,0.8504
王越|和邹克清韵 其一,0.8711,0.9123,0.8985,1.0,0.9016,0.958,0.9643,0.8683,0.9142,0.875,0.937,0.8524,0.8214,0.9388,0.8907,0.877,0.8848,0.895,0.874,0.853,0.875,0.8393,0.8036,0.8393,0.9464,0.8079,0.0,0.8571,0.8393,0.9286,0.8036,0.9464,0.7075,0.7143,0.875,0.875,0.9107,0.8214,0.7968,0.8393
王越|和游卫水韵,0.8848,0.8641,0.8726,0.9643,0.904,0.8863,0.9575,0.9218,0.9055,0.8861,0.874,0.9262,0.8861,0.9012,0.8726,0.9545,0.8999,0.979,0.937,0.9283,0.8929,0.875,0.8393,0.875,0.9218,0.8437,0.8571,0.0,0.904,0.875,0.8325,0.9218,0.8214,0.8683,0.9397,0.904,0.8036,0.8683,0.8504,0.8437
王越|和邹克清韵 其二,0.8685,0.7829,0.9091,0.9508,0.8337,0.874,0.8929,0.9286,0.8957,0.9464,0.895,0.8659,0.8929,0.9023,0.9136,0.8613,0.918,0.916,0.937,0.874,0.8861,0.8571,0.9464,0.8929,0.9286,0.875,0.8393,0.904,0.0,0.8548,0.75,0.9218,0.8504,0.8147,0.7968,0.779,0.8683,0.8929,0.9107,0.7857
王越|自咏,0.9727,0.8992,0.959,0.9643,0.9151,0.958,0.9754,0.9643,0.9029,0.9575,0.916,0.9643,0.9397,0.9234,0.9727,0.9454,0.9317,0.9283,0.9493,0.8653,0.8504,0.9397,0.9286,0.8504,0.904,0.8726,0.9286,0.875,0.8548,0.0,0.8615,0.9218,0.9643,0.8325,0.8615,0.8615,0.9286,0.904,0.9218,0.8726
王越|次尹同仁冢宰韵,0.8789,0.9298,0.9044,0.9754,0.9016,0.916,0.9218,0.9643,0.8921,0.8571,0.937,0.8032,0.9286,0.9494,0.8634,0.9258,0.8361,0.937,0.895,0.874,0.875,0.7857,0.8929,0.8929,0.9464,0.8325,0.8036,0.8325,0.75,0.8615,0.0,0.9286,0.8214,0.8929,0.875,0.8393,0.8929,0.8571,0.8571,0.8393
王越|端午,0.9668,0.9298,0.9121,0.9262,0.9016,0.979,0.9286,0.9218,0.9668,0.9286,0.958,0.9508,0.9107,0.9494,0.9454,0.9454,0.9218,0.958,0.916,0.895,0.9286,0.9464,0.9821,0.9286,0.9107,0.9464,0.9464,0.9218,0.9218,0.9218,0.9286,0.0,0.9286,0.9464,0.9643,0.875,0.9643,0.904,0.9286,0.9464
王越|次马执之韵,0.8907,0.8772,0.9121,0.9754,0.9016,0.916,0.8929,0.9107,0.9305,0.875,0.895,0.8278,0.875,0.9368,0.9044,0.9727,0.9317,0.937,0.874,0.937,0.8393,0.8214,0.8571,0.7857,0.9286,0.8504,0.7075,0.8214,0.8504,0.9643,0.8214,0.9286,0.0,0.8214,0.9107,0.9286,0.9286,0.875,0.8393,0.8929
王越|过寺吟景,0.8789,0.8596,0.8789,0.9262,0.877,0.958,0.9286,0.904,0.9446,0.9107,0.874,0.9508,0.8214,0.9259,0.9317,0.918,0.9044,0.916,0.895,0.811,0.875,0.8214,0.875,0.8393,0.8929,0.7119,0.7143,0.8683,0.8147,0.8325,0.8929,0.9464,0.8214,0.0,0.8571,0.875,0.875,0.8036,0.8214,0.875
王越|过回中山,0.8867,0.8772,0.9121,0.9508,0.877,0.916,0.9286,0.904,0.9394,0.9464,0.937,0.8413,0.9107,0.8916,0.9044,0.8711,0.8452,0.895,0.9073,0.853,0.8861,0.9464,0.904,0.875,0.9107,0.8147,0.875,0.9397,0.7968,0.8615,0.875,0.9643,0.9107,0.8571,0.0,0.8393,0.9286,0.8929,0.9286,0.8929
王越|夜坐,0.9258,0.7895,0.9317,0.9432,0.9508,0.958,0.9821,0.9286,0.8915,0.9107,0.916,0.877,0.9107,0.9037,0.9044,0.869,0.9044,0.874,0.916,0.874,0.8929,0.8571,0.9107,0.9107,0.8929,0.8929,0.875,0.904,0.779,0.8615,0.8393,0.875,0.9286,0.875,0.8393,0.0,0.875,0.9643,0.8214,0.9107
王越|送陈宗理,0.8985,0.9123,0.8848,0.9754,0.9508,0.895,0.9286,0.875,0.9283,0.9107,0.8653,0.8659,0.8214,0.9152,0.8985,0.8862,0.8255,0.895,0.895,0.958,0.9397,0.875,0.8393,0.8929,0.9107,0.9397,0.9107,0.8036,0.8683,0.9286,0.8929,0.9643,0.9286,0.875,0.9286,0.875,0.0,0.9286,0.875,0.7901
王越|登伾山,0.8457,0.9298,0.9395,0.9508,0.877,0.916,0.8929,0.8683,0.9283,0.9107,0.811,0.9397,0.8504,0.9259,0.9317,0.9044,0.8999,0.979,0.832,0.79,0.9107,0.8214,0.8571,0.8147,0.8393,0.8147,0.8214,0.8683,0.8929,0.904,0.8571,0.904,0.875,0.8036,0.8929,0.9643,0.9286,0.0,0.8036,0.8393
王越|小金山,0.8789,0.8245,0.8985,0.9262,0.8524,0.958,0.9286,0.9218,0.8973,0.8571,0.811,0.9016,0.9107,0.9084,0.8907,0.8985,0.8907,0.979,0.853,0.916,0.9286,0.8036,0.8571,0.8393,0.8571,0.7611,0.7968,0.8504,0.9107,0.9218,0.8571,0.9286,0.8393,0.8214,0.9286,0.8214,0.875,0.8036,0.0,0.9286
王越|送李世望,0.9003,0.8947,0.8848,0.9754,0.8694,0.832,0.875,0.8504,0.914,0.8929,0.7814,0.8032,0.779,0.8858,0.8907,0.918,0.8476,0.853,0.832,0.895,0.8929,0.875,0.8571,0.8214,0.9107,0.8504,0.8393,0.8437,0.7857,0.8726,0.8393,0.9464,0.8929,0.875,0.8929,0.9107,0.7901,0.8393,0.9286,0.0
